,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
200302,-6.4579,-2.8193,-2.1461,-1.4412,-2.3393,-2.6721,-1.7927,-2.1851,-2.7437,-6.6572,-4.1669,-0.9109,-2.187,-3.8013,-3.0832,-3.0798,-1.6608,-2.0816,-1.2464,-6.8624,-0.5328,-3.8576,-2.8716,-3.8423,-5.3043
200303,1.8575,1.6902,0.5346,1.7231,-0.164,2.5873,0.5174,0.4357,1.8242,-0.9529,3.2242,0.7127,-0.0623,-0.3994,0.9505,1.3266,-0.6901,0.9052,1.4381,-4.2969,1.9726,0.1346,1.0653,-0.9491,-3.385
200304,12.359,11.1907,7.9853,7.2098,9.6408,10.2649,9.6451,9.0754,9.6636,9.4,8.8005,8.3801,9.7247,12.1266,10.6261,8.9099,7.4263,10.5779,7.6115,8.7275,7.1768,9.6302,8.4025,10.6574,13.3856
200305,20.5518,14.7345,11.7961,9.9744,11.1742,12.9261,10.3399,11.1187,9.3984,9.8087,8.7648,8.6645,9.1392,10.2473,8.293,10.2647,9.9516,8.9426,9.7126,9.3329,4.2807,6.5241,6.453,6.571,7.3541
200306,6.5423,4.3056,4.8842,3.8178,5.9214,1.8822,0.3812,1.1598,2.5008,4.0842,2.6212,1.9013,0.1193,0.9411,3.8797,1.3005,0.6823,-0.1401,-0.6935,8.0957,0.9689,2.0897,2.5832,-0.9499,3.2236
200307,8.9956,7.8425,8.4781,9.2763,7.5361,8.0176,5.7202,6.1202,6.3732,7.6362,7.6427,4.8259,1.6683,4.0643,2.995,3.8031,4.1113,3.1218,6.0373,1.2671,1.215,3.8397,1.2405,-1.3978,2.8464
200308,4.5161,4.913,3.9593,4.5168,7.1888,4.4006,3.0474,5.2816,5.2029,6.2878,4.1162,3.9742,4.271,8.6807,7.6944,5.0977,3.702,4.1862,5.0053,9.5859,1.9522,0.8381,1.0442,2.0792,4.033
200309,3.3198,0.1851,0.2473,2.336,4.7159,-2.3116,-2.1702,-2.4164,-4.3916,-1.1714,-1.991,-2.8207,-1.9342,-1.7653,-0.4745,-1.7834,-2.2023,-1.0461,-1.0703,0.2092,-0.6421,-1.2809,-1.0027,-3.391,-3.6299
200310,5.9166,8.9537,7.4736,10.9178,11.3374,9.4184,7.4269,6.7473,10.4946,10.9795,9.158,6.3015,6.4925,10.2498,11.989,7.7692,8.6497,8.5436,9.3755,8.1687,3.9931,7.522,8.2701,5.6253,4.5567
200311,2.6671,3.4209,4.947,3.6168,6.9356,2.6162,3.5519,2.9737,4.028,3.6871,3.7403,3.0262,1.9229,5.4905,3.0991,1.2885,2.9714,3.6834,3.4275,3.8742,0.8764,0.442,1.0525,0.5637,4.8633
